param,tag,value,TB_final,time_sec
alpha_S,LO,0.4,0.014009943562657721,2.6373810870572925
alpha_S,HI,1.2,0.008087158312388917,2.4651661328971386
mu_max,LO,0.0,0.00768214796815561,2.408403140027076
mu_max,HI,0.1,0.010314539882048451,2.4283038289286196
lam,LO,0.05,0.006628657642896082,2.412070173304528
lam,HI,0.5,0.01391063282546877,2.4309330438263714
sigma,LO,0.0,0.009096904865575682,3.0339145469479263
sigma,HI,0.1,0.009077710663924567,2.4946361519396305
