step,t,tumor_burden,C_min,C_max
0,0.0,0.04648262222338613,0.007977839335047091,0.007977839335047091
400,0.1595567867009418,0.042929369230756215,0.978506520063473,0.978506520063473
800,0.3191135734018836,0.03925166405766637,0.9477728082725954,0.9477728082725954
1200,0.4786703601028255,0.036095798723304075,0.9180044053693708,0.9180044053693708
1600,0.6382271468037672,0.033375938958795544,0.8891709921637568,0.8891709921637568
2000,0.7977839335047091,0.031022033033189463,0.8612432017549642,0.8612432017549642
2400,0.957340720205651,0.028976638951600724,0.8341925896212053,0.8341925896212053
2800,1.1168975069065927,0.027192440688656186,0.8079916046488802,0.8079916046488802
3200,1.2764542936075345,0.025630293014155932,0.7826135610716978,0.7826135610716978
3600,1.4360110803084765,0.024257674326834684,0.7580326112911595,0.7580326112911595
4000,1.5955678670094182,0.02304745624258852,0.7342237195507151,0.7342237195507151
4400,1.75512465371036,0.021976920434968197,0.7111626364367928,0.7111626364367928
4800,1.914681440411302,0.02102696947313083,0.6888258741807054,0.6888258741807054
5200,2.074238227112244,0.020181490620152998,0.667190682736302,0.667190682736302
5600,2.2337950138131855,0.01942684079983914,0.6462350266089966,0.6462350266089966
6000,2.3933518005141274,0.01875142797738449,0.6259375624125559,0.6259375624125559
6400,2.552908587215069,0.01814536958560479,0.606277617130818,0.606277617130818
6800,2.712465373916011,0.01760021277290953,0.5872351670621663,0.5872351670621663
7200,2.872022160616953,0.017108704454038323,0.5687908174253479,0.5687908174253479
7600,3.0315789473178945,0.016664601634623445,0.5509257826058411,0.5509257826058411
8000,3.1911357340188364,0.016262514424102602,0.5336218670226595,0.5336218670226595
8400,3.3506925207197784,0.015897775674961555,0.516861446596109,0.516861446596109
8800,3.51024930742072,0.01556633238548859,0.5006274507976223,0.5006274507976223
9200,3.669806094121662,0.01526465495097424,0.48490334526338696,0.48490334526338696
9600,3.829362880822604,0.014989661100209503,0.46967311495404673,0.46967311495404673
10000,3.9889196675235454,0.014738651952913587,0.45492124784335475,0.45492124784335475
10400,4.148476454224488,0.014509258112265817,0.4406327191191335,0.4406327191191335
10800,4.308033240925429,0.014299394090502413,0.42679297588046816,0.42679297588046816
11200,4.467590027626371,0.014107219674370338,0.41338792231554033,0.41338792231554033
11600,4.627146814327313,0.013931107086559754,0.40040390534501324,0.40040390534501324
12000,4.786703601028255,0.013769613001168218,0.3878277007163332,0.3878277007163332
12400,4.946260387729197,0.013621454635299074,0.37564649953480045,0.37564649953480045
12800,5.105817174430138,0.013221031346264735,1.3529503918360513,1.3529503918360513
13200,5.26537396113108,0.012635804296740685,1.3104558488182418,1.3104558488182418
13600,5.424930747832022,0.012129402017346198,1.2692960082382931,1.2692960082382931
14000,5.584487534532964,0.011687653689445472,1.229428948699459,1.229428948699459
14400,5.744044321233906,0.011299378770921157,1.190814065505588,1.190814065505588
14800,5.903601107934848,0.010955694894507909,1.1534120293051573,1.1534120293051573
15200,6.063157894635789,0.010649496983037002,1.1171847460342212,1.1171847460342212
15600,6.222714681336731,0.010375062864229057,1.0820953181175275,1.0820953181175275
16000,6.382271468037673,0.010127752908695163,1.0481080068882453,1.0481080068882453
16400,6.541828254738615,0.009903779960841382,1.0151881961880291,1.0151881961880291
16800,6.701385041439557,0.009700032120453441,0.9833023571104107,0.9833023571104107
17200,6.860941828140499,0.00951393548100209,0.952418013851499,0.952418013851499
17600,7.02049861484144,0.009343347239800055,0.9225037106333113,0.9225037106333113
18000,7.180055401542382,0.009186472016334392,0.8935289796659787,0.8935289796659787
18400,7.339612188243324,0.00904179599639273,0.8654643101162334,0.8654643101162334
18800,7.499168974944266,0.00890803483713297,0.838281118050555,0.838281118050555
19200,7.658725761645208,0.00878409224783044,0.8119517173223618,0.8119517173223618
19600,7.81828254834615,0.008669026893052302,0.7864492913736053,0.7864492913736053
20000,7.977839335047091,0.008562025814727852,0.7617478659220407,0.7617478659220407
20400,8.137396121748033,0.008462382984394844,0.7378222825063617,0.7378222825063617
20800,8.296952908448976,0.008369481911388114,0.71464817286224,0.71464817286224
21200,8.456509695149917,0.008282781472258659,0.6922019341031957,0.6922019341031957
21600,8.616066481850858,0.008201804309959117,0.6704607046809978,0.6704607046809978
22000,8.7756232685518,0.008126127292143548,0.6494023411011226,0.6494023411011226
22400,8.935180055252742,0.008055373626598639,0.6290053953695516,0.6290053953695516
22800,9.094736841953685,0.007989206316041267,0.609249093147936,0.609249093147936
23200,9.254293628654626,0.007927322700055434,0.5901133125948868,0.5901133125948868
23600,9.413850415355567,0.007869449883150172,0.5715785638718274,0.5715785638718274
24000,9.57340720205651,0.007815340888091512,0.5536259692925475,0.5536259692925475
24400,9.73296398875745,0.00776477140529809,0.5362372440962363,0.5362372440962363
24800,9.892520775458394,0.0077175370341007205,0.5193946778244047,0.5193946778244047
25069,9.999822714514776,0.007687553250147404,0.5083665835545236,0.5083665835545236
