t,S_ref,R_ref,I_ref,C_ref,S_ode,R_ode,I_ode,C_ode,S_supermodel,R_supermodel,I_supermodel,C_supermodel,S_supernet,R_supernet,I_supernet,C_supernet
0.0,0.1,0.01,0.01,0.0,0.1,0.01,0.01,0.0,0.1,0.01,0.01,0.0,0.10011727,0.010338797,0.009810683,0.0068329247
0.2,0.09991486633789447,0.010056196479859668,0.010238067267871567,0.0951625820153178,0.09991486633789447,0.010056196479859668,0.010238067267871567,0.0951625820153178,0.09962991,0.010498196,0.010393289,0.09537369,0.09790991,0.010397079,0.009875252,0.0071385805
0.4,0.09833685143494048,0.010152033499415417,0.010468358178735995,0.18126924696067923,0.09833685143494048,0.010152033499415417,0.010468358178735995,0.18126924696067923,0.09776987,0.011041183,0.010774146,0.1816656,0.095743045,0.010457246,0.009940761,0.007460708
0.6000000000000001,0.09545863871633511,0.010296832251640343,0.01068566144576767,0.2591817793462638,0.09545863871633511,0.010296832251640343,0.01068566144576767,0.2591817793462638,0.09462088,0.011635805,0.011137719,0.25974044,0.093617395,0.010519296,0.010006855,0.007799883
0.8,0.09152285342321245,0.01047411630189477,0.010885723649379937,0.3296799539833453,0.09152285342321245,0.01047411630189477,0.010885723649379937,0.3296799539833453,0.09043212,0.0122635355,0.011480107,0.33038062,0.09153346,0.010583228,0.010073772,0.008156916
1.0,0.08678080508401172,0.010665095295081514,0.011065286155411896,0.38864944908043964,0.08678080508401172,0.010665095295081514,0.011065286155411896,0.38864944908043964,0.08545863,0.012904009,0.011798392,0.37762737,0.08949138,0.010648927,0.010141157,0.008532614
1.2000000000000002,0.08218240967606413,0.010846882691742783,0.011223063235340152,0.35136965840564716,0.08218240967606413,0.010846882691742783,0.011223063235340152,0.35136965840564716,0.08079181,0.013531384,0.012093479,0.3418823,0.08749166,0.010716626,0.010209007,0.0089276675
1.4000000000000001,0.07828725069110595,0.011010337157261655,0.011361634168915601,0.31793241449094717,0.07828725069110595,0.011010337157261655,0.011361634168915601,0.31793241449094717,0.0768,0.0141400015,0.012368952,0.30954087,0.08553455,0.010786089,0.0102774445,0.00934276
1.6,0.07497424236058613,0.011157648938165062,0.011483841209781345,0.28767714504064557,0.07497424236058613,0.011157648938165062,0.011483841209781345,0.28767714504064557,0.07336953,0.014732647,0.012627486,0.28027904,0.083620206,0.010857435,0.010346112,0.009778811
1.8,0.072148947069925,0.011290685075245123,0.011592059284154067,0.26030104514899377,0.072148947069925,0.011290685075245123,0.011592059284154067,0.26030104514899377,0.070409186,0.015311791,0.0128713185,0.25380355,0.08174887,0.0109304255,0.010415129,0.010236265
