t,TB_pde,TB_pinn,TB_ode
0.0,0.04650810721224416,0.052004385739564896,0.04650810721224417
0.05,0.04501833471207338,0.05083654075860977,0.045755134491341456
0.1,0.04261581810827641,0.050235748291015625,0.0446132009855636
0.15000000000000002,0.04039007800369825,0.049591902643442154,0.04350676265418972
0.2,0.03831512148657902,0.04877052456140518,0.04243460776353921
0.25,0.03639118767845642,0.04791558161377907,0.041395567360373274
0.30000000000000004,0.0345961653139476,0.047116488218307495,0.04038851428181689
0.35000000000000003,0.03293035143458985,0.046379562467336655,0.039412363155358766
0.4,0.03137490647011424,0.04567756876349449,0.038466069239180126
0.45,0.02993016104254794,0.044970765709877014,0.037548626459324136
0.5,0.028580038707707308,0.04421946778893471,0.036659067327531866
0.55,0.02732488623021037,0.04339222609996796,0.035796457520612085
0.6000000000000001,0.026150965112262354,0.04246954619884491,0.03495989562922087
0.65,0.02505862591477505,0.04144394397735596,0.034148513157861625
0.7000000000000001,0.02403611175155418,0.04031786322593689,0.033361473961706
0.75,0.023083768389225427,0.03910087049007416,0.032597971742423404
0.8,0.02219152124635493,0.037807025015354156,0.03185723118174838
0.8500000000000001,0.02135970547094982,0.03645271807909012,0.031138503229589706
0.9,0.020579676862252153,0.03505508974194527,0.030441064535984202
0.9500000000000001,0.019851756156585198,0.03363095596432686,0.029764217451096756
1.0,0.01916851708724326,0.032196108251810074,0.0291072899735178
1.05,0.018530263669968284,0.030764847993850708,0.028469633544740233
1.1,0.017930608099324025,0.02934972196817398,0.027850624141499664
1.1500000000000001,0.01736983643795959,0.027961429208517075,0.027249659322073204
1.2000000000000002,0.016842447474058365,0.026608776301145554,0.026666156655885155
1.25,0.01634870885697702,0.02529878355562687,0.026099553723507
1.3,0.015883877260433398,0.024036789312958717,0.025549308116657357
1.35,0.015448202005987103,0.02282664179801941,0.02501489687085128
1.4000000000000001,0.015037588412819098,0.021670890972018242,0.02449581501110031
1.4500000000000002,0.014652267937277731,0.020570987835526466,0.023991576420609416
1.5,0.014288701698614908,0.01952749490737915,0.02350171075075536
1.55,0.01394710400258291,0.018540235236287117,0.023025763181781782
1.6,0.013624412753082557,0.017608465626835823,0.022563294422799217
1.6500000000000001,0.013320825979587881,0.01673102378845215,0.022113880711785078
1.7000000000000002,0.013033691040269333,0.015906399115920067,0.021677112896737454
1.75,0.012763190654645935,0.015132850967347622,0.021252596059624172
1.8,0.012507024192349147,0.014408459886908531,0.020839949424123122
1.85,0.012265360072107953,0.013731183484196663,0.020438804244311215
1.9000000000000001,0.012036200610655566,0.013098903000354767,0.02004880377896665
1.9500000000000002,0.011819700942709541,0.012509438209235668,0.01966960329156889
2.0,0.011614124376955458,0.011960593052208424,0.01930087005029872
2.0500000000000003,0.01141961376372355,0.011450155638158321,0.01894228254215613
2.1,0.011234657488479792,0.010975918732583523,0.018593530229765745
