t,TB_pde,TB_ode,TB_supermodel
0.0,0.0464885962648152,0.04504092067848756,0.04504092
0.1,0.0444019895061769,0.0451796839649248,0.04517968
0.2,0.0419009313014417,0.04527642142409477,0.045276422
0.3,0.0396328644776507,0.04533172499018513,0.045331724
0.4,0.0375724486883269,0.045346315016690904,0.045346316
0.5,0.0356974448756548,0.04532103486791061,0.045321036
0.6,0.033988297330125,0.045256849604138394,0.045256853
0.7000000000000001,0.0324277770643608,0.045154840494847956,0.045154847
0.8,0.0310006767749022,0.04501620228446511,0.045016207
0.9,0.02969354932711,0.04484222530628035,0.04484223
1.0,0.0284944830549409,0.044634293637777656,0.044634297
1.1,0.0273929082790824,0.04439388068310408,0.044393882
1.2,0.026379430361148,0.04412253006048743,0.044122532
1.3,0.025445685365876,0.04382184571005184,0.043821845
1.4,0.0245842150274612,0.043493469683374135,0.04349347
1.5,0.0237883582342395,0.04313908074980741,0.043139078
1.6,0.0230521566771773,0.042760385080786556,0.042760383
1.7,0.0223702726675271,0.042359095501308064,0.042359095
1.8,0.0217379174301659,0.041936923715797755,0.04193692
1.9,0.0211507884317451,0.04149556768395378,0.041495565
2.0,0.0206050145151894,0.04103671133048549,0.04103671
2.1,0.0200971077910774,0.040562013560733357,0.04056201
2.2,0.0196239213876286,0.04007310017691677,0.040073097
2.3000000000000003,0.0191826122889777,0.03957155657942331,0.039571553
2.4,0.0187706085999545,0.03905892369332626,0.039058924
2.5,0.0183855806678152,0.038536697811600205,0.038536698
2.6,0.0180254155699075,0.03800632380427239,0.038006324
2.7,0.0176881945432461,0.03746919112208106,0.037469193
2.8000000000000003,0.0173721729892288,0.03692663185584545,0.03692663
2.9,0.0170757627357414,0.036379919229173385,0.03637992
3.0,0.0167975162809364,0.03583026758175203,0.035830267
3.1,0.0165361127790831,0.035278830181623935,0.035278827
3.2,0.0162903455599566,0.03472669687094378,0.034726694
3.3000000000000003,0.0160591110000146,0.03417489600594715,0.034174893
3.4,0.0158413985867196,0.03362439451479905,0.033624392
3.5,0.0156362820373517,0.03307609789759389,0.033076096
3.6,0.0154429113509489,0.03253085092379472,0.032530848
3.7,0.0152605056870148,0.03198943706938689,0.031989437
3.8,0.0150883469776524,0.031452581364724466,0.03145258
3.9,0.0149257741911067,0.03092095287754728,0.030920953
4.0,0.0147721781745542,0.03039516471870783,0.030395165
4.1,0.014626997012573,0.029875774533184542,0.029875776
4.2,0.0144897118452263,0.02936328813770224,0.029363288
4.3,0.0143598430962519,0.02885815865061195,0.028858159
4.4,0.0142369470675878,0.028360792826627578,0.028360795
4.5,0.0141206128614918,0.027871552118292113,0.027871555
4.6000000000000005,0.014010459595925,0.027390752675977594,0.027390756
4.7,0.0139061338827461,0.02691866568955301,0.026918668
4.8,0.0138073075416681,0.026455523606766482,0.026455525
4.9,0.0137136755259311,0.02600151979044368,0.02600152
5.0,0.0136249540382903,0.025556813053820078,0.025556816
5.1000000000000005,0.013269529666352,0.02512152933201502,0.025121532
5.2,0.0128615897665887,0.02469576168203174,0.024695763
5.3,0.0124914900668913,0.024279570744210548,0.024279572
5.4,0.0121544783086432,0.023872991285569807,0.023872992
5.5,0.011846503031803,0.023476032254831705,0.023476034
5.6000000000000005,0.011564100066573,0.023088679522305394,0.023088682
5.7,0.0113042987230443,0.022710896884644647,0.0227109
5.8,0.0110645440590355,0.02234262607453784,0.02234263
5.9,0.0108426323059184,0.021983790136578207,0.021983793
5.995,0.0106466038180163,0.02165155121261999,0.021651555
