t,PDE_TB,ODE_TB,Supermodel_TB,SuperNet_TB
0.0,0.04653238286132044,0.04653238286132044,0.04653238,0.04669027
0.04,0.045928082246620254,0.04574707358216706,0.04197068,0.07034968
0.08,0.04511043337756503,0.044760468167769615,0.03635886,0.040534914
0.12,0.04431798732606089,0.043808132243169096,0.030580858,0.024594022
0.16,0.0435498263570953,0.04288869521438575,0.02463675,0.023665844
0.2,0.042805071336855884,0.04200084780976531,0.020438336,0.025774969
0.24,0.04208287989162164,0.041143339072650234,0.022130677,0.02954909
0.28,0.041382444665507445,0.04031497351393801,0.023747945,0.03411767
0.32,0.04070299167110791,0.039514608415373936,0.025290506,0.038519606
0.36,0.04004377872748788,0.03874115127498786,0.026758736,0.04212831
0.4,0.03940409398033792,0.03799355738660892,0.02815301,0.044698015
0.44,0.03878325449945664,0.03727082754588314,0.029473701,0.046235695
0.48,0.03818060494903944,0.03657200587567723,0.030721193,0.04687217
0.52,0.037595516326548464,0.035896177764180984,0.031895865,0.046778724
0.56,0.037027384766211896,0.035242467909421996,0.032998104,0.046123847
0.6,0.03647563040345402,0.03461003846428206,0.0340283,0.045055717
0.64,0.03593969629679406,0.033998087276456125,0.034986835,0.043698803
0.68,0.03541904740396976,0.03340584621812419,0.035874106,0.042155072
0.72,0.03491316960924603,0.03283257960041475,0.036690503,0.040507168
0.76,0.03442156879905821,0.03227758266802766,0.03743642,0.0388221
0.8,0.03394376998331557,0.03174018016965501,0.038112253,0.037152886
0.84,0.033479316459855475,0.031219725000092825,0.038718402,0.035541713
0.88,0.033027769019691205,0.030715596910174427,0.03925527,0.034020886
0.92,0.03258870519083948,0.030227201280879985,0.039723255,0.032613322
0.96,0.03216171851864697,0.029753967958186356,0.040122766,0.031333983
1.0,0.031746417880659066,0.029295350145418217,0.0404542,0.030189572
1.04,0.031342426834190744,0.028850823350046354,0.040717978,0.029180048
1.08,0.030949382994867485,0.028419884382052528,0.040914487,0.0283007
1.12,0.030566937444506,0.028002050401143376,0.041044153,0.027539907
1.16,0.03019475416679899,0.02759685801024912,0.04110737,0.026882945
1.2,0.029832509509357473,0.027203862392886774,0.041104563,0.026313363
1.24,0.029479891670746862,0.026822636492103022,0.04103613,0.025812386
1.28,0.029136600211231163,0.026452770228839205,0.040902484,0.025361938
1.32,0.02880234558601258,0.026093869757680743,0.04070404,0.02494405
1.36,0.028476848699822095,0.0257455567580658,0.040441208,0.024545087
1.4000000000000001,0.02815984048178096,0.025407467759134262,0.040114395,0.024152337
1.44,0.02785106147951307,0.025079253496497804,0.039724022,0.023757307
1.48,0.02755026147154488,0.024760578299305835,0.039270498,0.023355214
1.52,0.027257199097082414,0.024451119506070665,0.038754236,0.022945447
1.56,0.02697164150230507,0.02415056690779855,0.03817564,0.022531284
1.6,0.02669336400236235,0.023858622217051942,0.037535127,0.022121755
1.6400000000000001,0.026422149758304266,0.023574998561642184,0.036833104,0.021729065
1.68,0.026157789468217167,0.02329942000172184,0.03606998,0.021369977
1.72,0.025900081071875986,0.02303162106911149,0.035246164,0.021066813
1.76,0.02564882946826043,0.022771346327758096,0.034362063,0.020844279
1.8,0.025403846245317524,0.022518349954280287,0.03341808,0.020731194
1.84,0.025164949421385106,0.02227239533761153,0.03241463,0.020755334
1.8800000000000001,0.024931963197721778,0.02203325469680391,0.0313521,0.02094297
1.92,0.024704717721617718,0.021800708716104712,0.030230904,0.02131456
1.96,0.02448304885958802,0.02157454619646429,0.02905144,0.021880163
2.0,0.024266797980175937,0.02135456372267769,0.027814105,0.022634892
2.04,0.02405581174591763,0.02114056534540378,0.026519295,0.023557303
2.08,0.02384994191404314,0.02093236227734499,0.025167404,0.024607597
2.12,0.023649045145509633,0.020729772602907506,0.023758825,0.025729207
2.16,0.02345298282198368,0.020532621000696888,0.022293946,0.02685502
2.2,0.023261620870408513,0.02034073847823711,0.020773154,0.027915953
2.24,0.023074829594810345,0.020153962118332144,0.019196834,0.028846918
2.2800000000000002,0.022892483515015362,0.019972134836518857,0.01756537,0.029596603
2.32,0.022714461211964982,0.019795105149087944,0.015879136,0.030129356
2.36,0.022540645179332693,0.019622726951175916,0.0141385095,0.030429488
2.4,0.022370921681160123,0.019454859304456413,0.012343865,0.030496223
2.44,0.022205180615244072,0.01929136623398247,0.01049557,0.030342763
2.48,0.022043315382018987,0.019132116533754122,0.008593991,0.029993353
2.52,0.021885222758692154,0.018976983580606642,0.0066394927,0.029475888
2.56,0.021730802778400164,0.018825845156034995,0.004632433,0.028820677
2.6,0.021579958614166776,0.018678583275589043,0.0025731677,0.028059034
2.64,0.021432596467452422,0.01853508402549205,0.0004620487,0.02721884
2.68,0.021288625461095837,0.018395237406152162,0.0,0.026326036
2.72,0.021147957536457738,0.018258937182252674,0.0,0.025403006
2.7600000000000002,0.02101050735458538,0.018126080739122304,0.0,0.02446886
2.8000000000000003,0.020876192201225323,0.017996568945101096,0.0,0.023539798
2.84,0.02074493189552,0.017870306019631597,0.0,0.022627817
2.88,0.020616648702231045,0.017747199406817765,0.0,0.021743516
2.92,0.020491267247340003,0.017627159654206657,0.0,0.020895155
2.96,0.020368714436883595,0.017510100296559666,0.0,0.020088395
3.0,0.020248919378887537,0.017395937744391205,0.0,0.019327654
3.04,0.019941246336264845,0.017186718793113547,0.0,0.01861537
3.08,0.019583782201358216,0.016932507592038598,0.0,0.017953975
3.12,0.019241257282604545,0.016688176186277326,0.0,0.017343612
3.16,0.018912929247422557,0.016453262904325396,0.0,0.016784357
3.2,0.018598097065646704,0.016227330331670193,0.0,0.016275683
3.24,0.018296098504110576,0.016009963926415963,0.0,0.015816936
3.2800000000000002,0.01800630778536261,0.01580077071954927,0.0,0.01540553
3.3200000000000003,0.01772813339894604,0.015599378094345435,0.0,0.015040537
3.36,0.01746101605455142,0.015405432639794416,0.0,0.014719976
3.4,0.01720442676715528,0.015218599073274684,0.0,0.014441395
3.44,0.016957865064998127,0.015038559228029044,0.0,0.014203073
3.48,0.01672085731193547,0.014865011101297858,0.0,0.01400215
3.52,0.01649295513632148,0.014697667959245568,0.0,0.013836568
3.56,0.01627373395916118,0.014536257495076515,0.0,0.013704417
3.6,0.01606279161479806,0.014380521036977997,0.0,0.013602762
3.64,0.015859747057892986,0.014230212802753134,0.0,0.013530275
3.68,0.015664239150901912,0.01408509919821508,0.0,0.013484465
3.72,0.015475925526675701,0.01394495815660835,0.0,0.013463492
3.7600000000000002,0.015294481521189954,0.013809578516503787,0.0,0.013465
3.8000000000000003,0.01511959917176751,0.013678759435781692,0.0,0.013488123
3.84,0.014950986276484151,0.013552309839474249,0.0,0.013529988
3.88,0.014788365510751262,0.013430047899383927,0.0,0.013589973
3.92,0.01463147359734955,0.013311800543530199,0.0,0.01366551
3.96,0.014480060526447215,0.01319740299360328,0.0,0.013756512
4.0,0.01433388882237628,0.013086698328721225,0.0,0.013860593
4.04,0.014192732854163082,0.012979537073896475,0.0,0.013976628
4.08,0.014056378187014936,0.012875776811720162,0.0,0.014103578
4.12,0.013924620972156044,0.012775281815867784,0.0,0.014240181
4.16,0.013797267372582793,0.012677922705118866,0.0,0.014385449
4.2,0.013674133022472798,0.012583576116666073,0.0,0.014538655
4.24,0.01355504251813455,0.01249212439756675,0.0,0.014698835
4.28,0.013439828938526119,0.012403455313262013,0.0,0.014865102
4.32,0.013328333393502576,0.012317461772156056,0.0,0.01503676
4.36,0.013220404598074222,0.012234041565311271,0.0,0.015212977
4.4,0.013115898471070963,0.012153097120373657,0.0,0.015393371
4.44,0.013014677756713802,0.012074535268897938,0.0,0.015576949
4.48,0.012916611667692547,0.011998267026293226,0.0,0.015763434
4.5200000000000005,0.012821575548440147,0.011924207383658045,0.0,0.015952183
4.5600000000000005,0.012729450557379044,0.011852275110818492,0.0,0.016142948
4.6000000000000005,0.012640123366994088,0.011782392569925243,0.0,0.01633499
4.64,0.012553485880660234,0.011714485539004496,0.0,0.01652815
4.68,0.012469434965221862,0.011648483044894567,0.0,0.016722167
4.72,0.012387872198384695,0.011584317205034406,0.0,0.016916228
4.76,0.012308703630040715,0.011521923077602402,0.0,0.01711079
4.8,0.012231839556702364,0.011461238519534038,0.0,0.017304713
4.84,0.012157194308273995,0.011402204051975224,0.0,0.017498238
4.88,0.012084686046437103,0.011344762732754542,0.0,0.017691435
4.92,0.012014236573971009,0.0112888600354825,0.0,0.01788337
4.96,0.01194577115437291,0.011234443734909028,0.0,0.018074399
5.0,0.011879218341180551,0.011181463798192352,0.0,0.018264337
5.04,0.011814509816437755,0.011129872281752703,0.0,0.018452795
5.08,0.011751580237777256,0.011079623233403514,0.0,0.018639667
5.12,0.01169036709362764,0.011030672599470732,0.0,0.018824918
5.16,0.011630810566081187,0.010982978136627719,0.0,0.019008556
5.2,0.011572853400987529,0.010936499328189037,0.0,0.019189673
5.24,0.011516440784864431,0.010891197304621252,0.0,0.019369384
5.28,0.011461520228241599,0.010847034768042874,0.0,0.019547066
5.32,0.011408041455076436,0.010803975920498605,0.0,0.019722657
5.36,0.01135595629790236,0.01076198639580536,0.0,0.019895652
5.4,0.011305218598390423,0.010721033194779156,0.0,0.020066826
5.44,0.011255784113023975,0.010681084623662702,0.0,0.02023589
5.48,0.011207610423603834,0.010642110235583849,0.0,0.020402351
5.5200000000000005,0.011160656852318094,0.010604080774884577,0.0,0.020566469
5.5600000000000005,0.01111488438112626,0.010566968124169233,0.0,0.020728381
5.6000000000000005,0.011070255575222114,0.010530745253929252,0.0,0.020887556
5.64,0.011026734510353305,0.01049538617460954,0.0,0.021045009
5.68,0.010984286703788664,0.010460865890989194,0.0,0.021199951
5.72,0.010942879048736247,0.010427160358756363,0.0,0.021352058
5.76,0.010902479752026507,0.010394246443163674,0.0,0.021502292
5.8,0.010863058274885554,0.010362101879656842,0.0,0.021649806
5.84,0.01082458527663361,0.010330705236375134,0.0,0.021794906
5.88,0.010787032561153015,0.01030003587842774,0.0,0.021937976
5.92,0.01075037302597905,0.010270073933855492,0.0,0.022078292
5.96,0.010714580613875133,0.01024080026119217,0.0,0.02221646
6.0,0.010679630266761742,0.010212196418544374,0.0,0.022351986
6.04,0.010605862415117798,0.010160179253691132,0.0,0.022485485
6.08,0.010521328601584924,0.010097666277446196,0.0,0.022616731
6.12,0.01043939499474154,0.010036813223397832,0.0,0.02274547
