step,t,tumor_burden,C_min,C_max
0,0.0,0.04650807214340548,0.01999999999999997,0.02000000000000004
20,0.4,0.04465724005853801,0.4036180422850115,0.4036180422850155
40,0.8,0.0392452926771191,0.7576853210425958,0.757685321042606
60,1.2,0.032174852041667645,1.0844781828696242,1.0844781828696428
80,1.6,0.025209731846355426,1.386097623434242,1.3860976234342712
100,2.0,0.01940947121683492,1.6644827950622139,1.6644827950622534
120,2.4,0.015083110881238,1.9214234738104483,1.9214234738104974
140,2.8000000000000003,0.012051575400982464,2.1585715661802123,2.158571566180271
160,3.2,0.009953389002835775,2.3774517294482664,2.377451729448337
180,3.6,0.008446267467575892,2.5794711738954548,2.579471173895536
200,4.0,0.007286139754112987,2.7659287099526177,2.765928709952708
220,4.4,0.006328045691174996,2.9380230984291487,2.938023098429249
240,4.8,0.0054973228763031835,3.0968607575089746,3.096860757509082
260,5.2,0.0047597629621368345,3.2434628760632305,3.2434628760633464
280,5.6000000000000005,0.004100785420800886,3.3787719790121398,3.3787719790122654
300,6.0,0.0035137289065743,3.50365798694567,3.503657986945803
320,6.4,0.0029942967620063864,3.618923808961077,3.6189238089612172
340,6.8,0.002538365086106832,3.7253105046744928,3.7253105046746393
360,7.2,0.002141360362150943,3.8235020485937823,3.823502048593934
380,7.6000000000000005,0.0017982628168571777,3.9141297274835,3.914129727483658
400,8.0,0.0015038043299761394,3.9977761989931966,3.99777619899336
420,8.4,0.0012526876436159359,4.07497923764253,4.074979237642703
440,8.8,0.0010397680874701808,4.146235192246666,4.146235192246841
460,9.200000000000001,0.0008601849032495892,4.212002177010159,4.2120021770103335
480,9.6,0.0007094457373208354,4.272703016805391,4.272703016805568
499,9.98,0.0005892412368848545,4.326032093946827,4.326032093947008
