t,TB_explicit,TB_semi_implicit
0.0,0.04648859626481522,0.04648859626481522
0.1,0.046463955320616784,0.046463955320616784
0.2,0.046151195540231046,0.04615119554023106
0.3,0.045564834959873735,0.04556483495987375
0.4,0.04472562675532874,0.04472562675532874
0.5,0.04365888634802334,0.04365888634802336
0.6,0.04239321007861328,0.042393210078613304
0.7000000000000001,0.04095935938731078,0.04095935938731081
0.8,0.039389191744580505,0.03938919174458055
0.9,0.03771465555043637,0.03771465555043642
1.0,0.0359668830642179,0.03596688306421796
1.1,0.034175408935310125,0.03417540893531021
1.2,0.032367532315600356,0.032367532315600446
1.3,0.030567831102734606,0.03056783110273471
1.4000000000000001,0.02879782837949272,0.028797828379492827
1.5,0.02707580393550559,0.02707580393550571
1.6,0.025416738076379546,0.02541673807637968
1.7,0.02383237081252521,0.023832370812525355
1.8,0.02233135694066394,0.02233135694066409
1.9000000000000001,0.020919496364595978,0.020919496364596134
2.0,0.019600019064968083,0.019600019064968242
2.1,0.018373905197365765,0.01837390519736593
2.2,0.017240222632876903,0.01724022263287707
2.3000000000000003,0.01619646661475899,0.016196466614759156
2.4,0.015238888864063377,0.015238888864063549
2.5,0.014362806227720645,0.014362806227720813
2.6,0.013562881659982746,0.013562881659982913
2.7,0.01283337283451002,0.012833372834510184
2.8000000000000003,0.012168345909193638,0.012168345909193799
2.9,0.011561853853285365,0.011561853853285523
3.0,0.01100808027160689,0.011008080271607039
3.1,0.010501450824133958,0.010501450824134107
3.2,0.01003671516154468,0.010036715161544828
3.3000000000000003,0.009609002812967431,0.009609002812967579
3.4,0.009213856714564633,0.009213856714564773
3.5,0.008847248104335915,0.008847248104336054
3.6,0.008505576377604095,0.00850557637760423
3.7,0.008185657244539681,0.008185657244539816
3.8000000000000003,0.007884702196734539,0.007884702196734672
3.9,0.007600291909435992,0.007600291909436126
4.0,0.007330345808459261,0.007330345808459393
4.1,0.007073089638517766,0.007073089638517898
4.2,0.006827022499281223,0.006827022499281354
4.3,0.006590884478084574,0.006590884478084705
4.4,0.006363625710513386,0.006363625710513516
4.5,0.006144377445029658,0.006144377445029791
4.6000000000000005,0.005932425475459489,0.005932425475459623
4.7,0.005727186133534416,0.005727186133534552
4.8,0.00552818489934499,0.0055281848993451255
4.9,0.005335037586271334,0.0053350375862714705
5.0,0.005147433984059829,0.005147433984059965
5.1000000000000005,0.004965123794538827,0.004965123794538965
5.2,0.004787904664542696,0.004787904664542835
5.3,0.004615612105852322,0.004615612105852462
5.4,0.004448111088744114,0.0044481110887442535
5.5,0.004285289100965858,0.004285289100965999
5.6000000000000005,0.004127050475040233,0.004127050475040373
5.7,0.0039733118016395605,0.003973311801639703
5.8,0.0038239982637285584,0.0038239982637287
5.9,0.0036790407439772623,0.003679040743977404
5.995,0.003545306028870186,0.003545306028870328
