step,t,tumor_burden,C_min,C_max
0,0.0,0.04648262222338613,0.00039889196675235456,0.00039889196675235456
20,0.007977839335047091,0.04649199204526818,0.00837005185552328,0.00837005185552328
40,0.015955678670094182,0.04649948036001059,0.01632850285240476,0.01632850285240476
60,0.023933518005141274,0.04650508946370025,0.024274265219935153,0.024274265219935153
80,0.031911357340188365,0.046508821926172735,0.03220735918834706,0.03220735918834706
100,0.03988919667523545,0.046510680592119824,0.040127804955618865,0.040127804955618865
120,0.04786703601028255,0.04651066858318148,0.04803562268752603,0.04803562268752603
140,0.05584487534532964,0.046508789300927326,0.055930832517692604,0.055930832517692604
160,0.06382271468037673,0.04650504643058874,0.06381345454764235,0.06381345454764235
180,0.07180055401542382,0.04649944394535461,0.07168350884685004,0.07168350884685004
200,0.0797783933504709,0.046491986110999396,0.07954101545279246,0.07954101545279246
220,0.087756232685518,0.046482677490573776,0.08738599437099945,0.08738599437099945
240,0.0957340720205651,0.04647152294886627,0.09521846557510491,0.09521846557510491
260,0.10371191135561218,0.0464585276563405,0.10303844900689754,0.10303844900689754
280,0.11168975069065928,0.046443697092271835,0.11084596457637166,0.11084596457637166
300,0.11966759002570637,0.04642703704684807,0.11864103216177795,0.11864103216177795
320,0.12764542936075346,0.04640855362205837,0.12642367160967397,0.12642367160967397
340,0.13562326869580055,0.04638825323126671,0.13419390273497478,0.13419390273497478
360,0.14360110803084764,0.04636614259744313,0.14195174532100335,0.14195174532100335
380,0.15157894736589472,0.04634222875009975,0.1496972191195409,0.1496972191195409
400,0.1595567867009418,0.04631651902104183,0.15743034385087726,0.15743034385087726
420,0.16753462603598893,0.046289021039092076,0.16515113920386093,0.16515113920386093
440,0.175512465371036,0.04625974272397705,0.17285962483594938,0.17285962483594938
460,0.1834903047060831,0.046228692279576794,0.18055582037325912,0.18055582037325912
480,0.1914681440411302,0.04619587818673579,0.1882397454106155,0.1882397454106155
500,0.19944598337617728,0.046161309195818775,0.19591141951160262,0.19591141951160262
520,0.20742382271122436,0.046124994319170616,0.20357086220861323,0.20357086220861323
540,0.21540166204627145,0.04608694282361228,0.21121809300289848,0.21121809300289848
560,0.22337950138131857,0.04604716422307553,0.21885313136461754,0.21885313136461754
580,0.23135734071636566,0.04600566827145078,0.2264759967328871,0.2264759967328871
