t,TB_explicit,TB_semi_implicit
0.0,0.04648859626481522,0.04648859626481522
0.1,0.04440198950617691,0.04440198950617691
0.2,0.041900931301441784,0.04190093130144179
0.3,0.03963286447765077,0.039632864477650784
0.4,0.037572448688326994,0.03757244868832702
0.5,0.035697444875654856,0.0356974448756549
0.6,0.033988297330125025,0.03398829733012508
0.7000000000000001,0.032427777064360855,0.03242777706436092
0.8,0.031000676774902293,0.031000676774902366
0.9,0.029693549327110044,0.029693549327110144
1.0,0.028494483054940956,0.02849448305494107
1.1,0.027392908279082438,0.027392908279082567
1.2,0.02637943036114806,0.026379430361148207
1.3,0.02544568536587601,0.025445685365876165
1.4000000000000001,0.024584215027461217,0.02458421502746138
1.5,0.02378835823423956,0.023788358234239738
1.6,0.023052156677177346,0.02305215667717753
1.7,0.02237027266752719,0.02237027266752739
1.8,0.021737917430165905,0.021737917430166117
1.9000000000000001,0.021150788431745147,0.021150788431745372
2.0,0.020605014515189417,0.020605014515189642
2.1,0.020097107791077488,0.020097107791077727
2.2,0.019623921387628633,0.01962392138762888
2.3000000000000003,0.019182612288977725,0.019182612288977982
2.4,0.018770608599954552,0.01877060859995482
2.5,0.01838558066781523,0.0183855806678155
2.6,0.018025415569907513,0.018025415569907787
2.7,0.017688194543246116,0.017688194543246397
2.8000000000000003,0.017372172989228843,0.01737217298922913
2.9,0.017075762735741427,0.017075762735741726
3.0,0.01679751628093645,0.016797516280936745
3.1,0.016536112779083113,0.016536112779083414
3.2,0.01629034555995669,0.016290345559957
3.3000000000000003,0.016059111000014604,0.01605911100001492
3.4,0.0158413985867196,0.015841398586719912
3.5,0.015636282037351713,0.015636282037352036
3.6,0.015442911350948985,0.015442911350949304
3.7,0.015260505687014899,0.015260505687015223
3.8000000000000003,0.015088346977652487,0.015088346977652815
3.9,0.014925774191106722,0.014925774191107057
4.0,0.014772178174554264,0.014772178174554599
4.1,0.014626997012573069,0.01462699701257341
4.2,0.014489711845226306,0.014489711845226653
4.3,0.01435984309625191,0.014359843096252264
4.4,0.01423694706758788,0.014236947067588233
4.5,0.014120612861491829,0.014120612861492186
4.6000000000000005,0.014010459595925007,0.014010459595925367
4.7,0.013906133882746136,0.0139061338827465
4.8,0.013807307541668118,0.013807307541668487
4.9,0.013713675525931187,0.01371367552593156
5.0,0.013624954038290397,0.013624954038290773
5.1000000000000005,0.013269529666352009,0.013269529666352371
5.2,0.01286158976658875,0.012861589766589097
5.3,0.012491490066891306,0.012491490066891639
5.4,0.012154478308643203,0.012154478308643525
5.5,0.011846503031803086,0.011846503031803401
5.6000000000000005,0.011564100066573001,0.011564100066573305
5.7,0.011304298723044308,0.011304298723044604
5.8,0.011064544059035553,0.011064544059035846
5.9,0.010842632305918478,0.010842632305918766
5.995,0.010646603818016335,0.010646603818016617
