method,budget,rmse_obs,rmse_fwd,rmse_bwd,mae_obs,mae_fwd,mae_bwd
ABC,small,0.002252735919669846,0.000715789104108481,0.0028949241808366374,0.0017607560700311443,0.000638323092817481,0.0026250702649702807
ABC,medium,0.0019974211343748755,0.001060155493413109,0.0027199816441855393,0.001554125351768459,0.000876890805826577,0.002470586634033865
ABC,large,0.002011101712051794,0.0014197015097898987,0.0028023175234111646,0.0016149243437396988,0.0012887287695382758,0.0025486145080313347
3D-Var,small,0.001893499434317607,0.003055753570591438,0.0026223453697322052,0.0016135775684141434,0.0030433523155905884,0.002389547184433168
3D-Var,medium,0.001893499434317607,0.003055753570591438,0.0026223453697322052,0.0016135775684141434,0.0030433523155905884,0.002389547184433168
3D-Var,large,0.001893499434317607,0.003055753570591438,0.0026223453697322052,0.0016135775684141434,0.0030433523155905884,0.002389547184433168
