t,TB_pde_fit,TB_true
0.0,0.046508146009279744,0.04650810721224416
0.05,0.04550940758259134,0.04551822256549968
0.1,0.04386874766622462,0.04389094378680953
0.15000000000000002,0.042324758455631044,0.04235854021501502
0.2,0.04086412749738322,0.04090799262351686
0.25,0.03948791547322773,0.03954038913723677
0.30000000000000004,0.03818458244266448,0.03824443188629269
0.35000000000000003,0.03695514078293693,0.037021157142379114
0.4,0.03578956247219634,0.035860736618652106
0.45,0.03468880735968294,0.0347641511929791
0.5,0.03364414046383128,0.03372283053411402
0.55,0.032656467171855184,0.03273769872218422
0.6000000000000001,0.03171816116001891,0.03180126497400507
0.65,0.030830073054602634,0.030914396686456798
0.7000000000000001,0.02998552942917292,0.030070531798097686
0.75,0.029185326998421607,0.02927048219583476
0.8,0.02842361329687088,0.02850848668647089
0.8500000000000001,0.02770113276356334,0.027785303537987072
0.9,0.027012741848598455,0.027095863764505037
0.9500000000000001,0.02635913487005294,0.02644087437176846
1.0,0.02573578180345942,0.025815866001147936
1.05,0.025143329321911115,0.025221497033039615
1.1,0.02457777952072045,0.024653818666987022
1.1500000000000001,0.024039734080722665,0.024113443439771953
1.2000000000000002,0.02352565758452284,0.023596875422018132
1.25,0.023036109445351154,0.02310468413572146
1.3,0.022567957037380904,0.022633768448427002
1.35,0.02212172022784214,0.022184657673738013
1.4000000000000001,0.021694617894119344,0.02175459554075902
1.4500000000000002,0.021287133023394904,0.02134407389025854
1.5,0.020896791838089696,0.020950638284596798
1.55,0.020524043019758655,0.020574745723803814
1.6,0.02016668203851231,0.020214206450357416
1.6500000000000001,0.019825125729738467,0.019869445131278425
1.7000000000000002,0.019497405877127037,0.019538504544544477
1.75,0.01918390980018834,0.019221779395277895
1.8,0.018882877070078435,0.018917517131233685
1.85,0.018594667684105413,0.018626084724208382
1.9000000000000001,0.018317704245829527,0.018345910089202888
1.9500000000000002,0.01805232148488752,0.018077334549380326
2.0,0.017797103514842372,0.01781894542690167
2.0500000000000003,0.01755236171402914,0.01757106033901895
2.1,0.01731682296019469,0.0173324076560175
2.15,0.017090777062022347,0.017103283094156728
2.2,0.01687307730504031,0.016882540038930128
2.25,0.016663993580317765,0.016670453978394086
2.3000000000000003,0.01646249128483707,0.016465989287323804
2.35,0.01626882192065982,0.01626940277286008
2.4000000000000004,0.016082050479259802,0.016079757507945675
2.45,0.015902411485682957,0.015897293047757718
2.5,0.01572905854857077,0.015721160374519264
2.5500000000000003,0.015562210518459204,0.015551583109464822
2.6,0.015401099978362087,0.01538779065830796
2.6500000000000004,0.015245931304530985,0.015229991922855369
2.7,0.015096007570267548,0.015077486378817432
2.75,0.014951519782601012,0.01493046932687162
2.8000000000000003,0.014811834028768863,0.014788302944759895
2.85,0.014677128963386936,0.014651169961161765
2.9000000000000004,0.014546827089132967,0.014518488747075842
2.95,0.014421095643391196,0.014390430405884651
3.0,0.014299407711725448,0.014266463743319191
3.0500000000000003,0.014181919974134857,0.014146749108117121
3.1,0.014068150935857235,0.01403080063837278
3.1500000000000004,0.013958247509946837,0.013918768728784354
3.2,0.013851769043928713,0.01381020832218766
3.25,0.01374885341049977,0.013705260595413585
3.3000000000000003,0.013649096735589011,0.01360351727261973
3.35,0.013552628519447283,0.013505110989734899
3.4000000000000004,0.013459078053301404,0.013409666671792685
3.45,0.01336856707899709,0.013317309036425739
3.5,0.0132807548362421,0.013227693018847363
3.5500000000000003,0.013195755873095075,0.013140935991123693
3.6,0.013113256509813927,0.013056720051363737
3.6500000000000004,0.0130333646199702,0.012975155753055911
3.7,0.01295579104402634,0.012895949812931849
3.75,0.012880637458829081,0.012819206450957231
3.8000000000000003,0.012807636936248187,0.012744654725946589
3.85,0.012736885396105499,0.012672392970962974
3.9000000000000004,0.012668136092940749,0.012602170547249587
3.95,0.012601479594378583,0.012534080312363397
4.0,0.01253668750139804,0.012467890100194999
4.05,0.01247384540230708,0.012403687671912427
4.1000000000000005,0.012412741596657145,0.012341257690458525
4.15,0.012353457037052025,0.012280683170146828
4.2,0.01229579524092881,0.012221764124764436
4.25,0.012239832841983881,0.012164579144190517
4.3,0.012185387243421586,0.012108942261947898
4.3500000000000005,0.012132531052254996,0.012054927941045379
4.4,0.012081094357531841,0.012002363034631558
4.45,0.012031146009284215,0.01195131815361772
4.5,0.01198252770025032,0.011901631887472949
4.55,0.01193530477253634,0.011853371248880498
4.6000000000000005,0.011889329545467217,0.011806385584600473
4.65,0.011844664083343876,0.011760738543779646
4.7,0.011801170448788612,0.011716289344642554
4.75,0.01175890764104833,0.011673098489890043
4.800000000000001,0.011717746666633597,0.011631034266788928
4.8500000000000005,0.011677743656548938,0.011590154232524826
