t,TB
0.0,0.0464885962648152
0.1,0.04650354964693053
0.2,0.046212491471929476
0.3,0.045632211206877236
0.4,0.044787629275406596
0.5,0.043708244026227173
0.6,0.04242619220336767
0.7000000000000001,0.04097503960907065
0.8,0.03938871205604781
0.9,0.03770058540306177
1.0,0.03594260737150648
1.1,0.03414466426541302
1.2,0.03233399330728776
1.3,0.030534832136783263
1.4,0.028768157396701036
1.5,0.027051587221111728
1.6,0.025399411960305894
1.7,0.023822681011612643
1.8,0.022329429645115476
1.9,0.020924926658779285
2.0,0.019611987584060728
2.1,0.018391283041977013
2.2,0.01726169649765251
2.3000000000000003,0.016220636747503115
2.4,0.015264361482491398
2.5,0.014388271949974364
2.6,0.013587169016863927
2.7,0.012855487616196634
2.8000000000000003,0.01218749680876835
2.9,0.011577460307377462
3.0,0.01101976814435683
3.1,0.010509040230980822
3.2,0.010040202351521348
3.3000000000000003,0.009608535095288785
3.4,0.009209705055628641
3.5,0.008839781027162805
3.6,0.008495234258153867
3.7,0.008172926455628282
3.8,0.007870092706740026
3.9,0.007584320191579262
4.0,0.007313517810413764
4.1,0.007055887042569635
4.2,0.006809895575173837
4.3,0.006574243523924991
4.4,0.006347836339772115
4.5,0.006129760552059791
4.6000000000000005,0.005919253581514834
4.7,0.005715687211933414
4.8,0.005518542282940152
4.9,0.005327393563141458
5.0,0.005141893090098257
5.1000000000000005,0.0049617556640403895
5.2,0.0047867486705270145
5.3,0.004616680147980713
5.4,0.004451391617640645
5.5,0.004290750820089046
5.6000000000000005,0.004134644133972911
5.7,0.003982975537816046
5.8,0.0038356570316581224
5.9,0.003692611761279536
5.995,0.003560610225356867
